Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Cholesterol (mg)
,PROT,FAT,CHO,KCALS,STAR,TOTSUG,CHOL
,Protein,Fat,Carbohydrate,kcal,Starch,Total sugars,Cholesterol
"Pork, spare ribs, 'barbecue style', meat only, retail, reheated, weighed with bone",9.2,6.0,2.0,98,0.5,1.5,57.0
"Pork, spare ribs, 'barbecue style', meat only, retail, reheated",26.3,17.1,5.8,281,1.4,4.4,160.0
"Pork, spare ribs, Chinese barbecue, takeaway",22.1,18.7,,,,,
"Pork, spare ribs, in black bean sauce, meat and sauce only, homemade",14.3,14.5,5.8,216,0.7,5.1,46.0
"Pork, spare ribs, in black bean sauce, meat and sauce only, homemade, weighed with bone",8.2,8.2,3.3,123,0.4,2.9,25.7
"Pork, spare ribs, raw, lean and fat",18.7,13.4,0.0,195,0.0,0.0,66.0
"Pork, stir-fried with vegetables, homemade",16.4,2.9,2.6,103,1.4,1.2,44.0
"Pork, sweet and sour, made with lean pork, homemade",14.5,6.3,11.0,162,3.5,7.2,51.8
"Pork, sweet and sour, made with sweet and sour cook in sauce",15.3,4.9,11.4,148,1.4,10.0,45.5
"Pork, trotters and tails, boiled with added salt",19.8,22.3,0.0,280,0.0,0.0,N
"Porridge oats, unfortified",10.9,8.1,70.7,381,70.4,0.3,0.3
"Porridge oats, unfortified, cooked, made up with semi-skimmed milk",4.6,2.3,12.1,84,8.0,4.1,2.7
"Porridge, made with milk and water",3.1,1.9,11.2,72,8.8,2.5,3.1
"Porridge, made with water",1.4,1.0,8.8,47,8.8,Tr,0.0
"Porridge, made with whole milk",4.9,4.7,13.3,112,8.5,4.8,12.5
Port,0.1,0.0,12.0,157,0.0,12.0,0.0
Pot savouries,11.6,10.9,58.8,365,46.9,8.2,0.0
"Pot savouries, made up",3.3,3.1,16.7,103,13.3,2.3,0.0
"Potato cakes, fried in rapeseed oil",3.9,8.4,31.4,210,31.5,1.1,5.3
"Potato chips, crinkle cut, frozen, fried in corn oil",3.6,16.7,33.4,290,32.5,0.9,0.0
"Potato chips, fine cut, from fast food outlets",3.5,14.2,39.7,290,39.4,0.3,Tr
"Potato chips, fine cut, frozen, fried in blended vegetable oil",4.5,21.3,41.2,364,40.6,0.6,0.0
"Potato chips, fine cut, frozen, fried in corn oil",4.5,21.3,41.2,364,40.6,0.6,0.0
"Potato chips, fine cut, frozen, fried in dripping",4.5,21.3,41.2,364,40.6,0.6,19.0
"Potato chips, fried in beef dripping, from takeaway fish and chip shops",3.5,8.4,33.2,214,32.7,0.6,11.0
"Potato chips, fried in commercial oil, from takeaway fish and chip shops",3.5,8.4,33.2,214,32.7,0.6,0.9
"Potato chips, fried in palm oil, from takeaway fish and chip shops",3.5,8.4,33.2,214,32.7,0.6,0.9
"Potato chips, fried in rapeseed oil, from takeaway fish and chip shops",3.5,8.4,33.2,214,32.7,0.6,0.0
"Potato chips, homemade, fried in corn oil",3.2,6.7,33.1,197,31.6,1.5,0.0
"Potato chips, homemade, fried in dripping",3.2,6.7,33.1,197,31.6,1.5,12.5
"Potato chips, homemade, fried in rapeseed oil",3.6,6.7,34.1,202,33.2,0.9,0.0
"Potato chips, homemade, fried in sunflower oil",3.2,6.7,33.1,197,31.6,1.5,0.0
"Potato chips, microwave, cooked",3.6,9.6,32.1,221,31.5,0.6,0.0
"Potato chips, oven ready, no batter, baked",3.2,4.9,35.3,189,34.3,1.0,0.0
"Potato chips, oven ready, with batter, baked",3.4,6.1,35.6,202,35.2,0.4,Tr
"Potato chips, straight cut, frozen, fried in blended oil",4.1,13.5,36.0,273,35.3,0.7,0.0
"Potato chips, straight cut, frozen, fried in corn oil",4.1,13.5,36.0,273,35.3,0.7,0.0
"Potato chips, straight cut, frozen, fried in dripping",4.1,13.5,36.0,273,35.3,0.7,12.0
"Potato chips, thick cut, frozen, fried in corn oil",3.6,10.2,34.0,234,33.2,0.8,0.0
"Potato crisps, fried in sunflower oil",6.2,28.8,55.8,493,54.9,0.9,0.0
"Potato crisps, low fat",6.6,21.5,63.5,458,62.0,1.5,0.0
"Potato croquettes, fried in blended oil",3.7,13.1,21.6,214,21.1,0.5,0.0
"Potato powder, instant, made up with semi-skimmed milk",2.4,0.5,14.2,67,12.7,1.5,2.0
"Potato powder, instant, made up with skimmed milk",2.4,0.1,14.2,66,12.7,1.5,Tr
"Potato powder, instant, made up with water",1.5,0.1,13.5,57,12.7,0.7,0.0
"Potato powder, instant, made up with whole milk",2.4,1.2,14.8,76,12.7,2.0,Tr
"Potato powder, instant, raw",8.4,0.6,74.9,320,70.8,4.1,0.0
"Potato products, shaped, frozen, baked",2.5,8.3,28.1,190,27.7,0.4,0.0
Potato rings,3.6,22.4,70.5,480,70.2,0.3,0.0
"Potato snacks, pringle-type, fried in vegetable oil",4.3,31.8,57.4,519,55.9,1.5,0.0
"Potato wedges, retail, cooked",2.8,5.5,30.6,176,29.7,0.8,0.0
"Potato, leek and celery bake",4.4,6.5,12.6,122,10.8,1.6,17.0
"Potatoes with onions and eggs, fried",7.8,23.8,19.1,316,17.3,1.4,172.0
"Potatoes, duchesse",3.1,5.1,17.5,124,16.7,0.8,45.6
"Potatoes, new and salad, boiled in salted water, flesh and skin",1.8,0.1,14.9,68,13.8,1.1,0.0
"Potatoes, new and salad, boiled in unsalted water, flesh and skin",1.8,0.1,14.9,68,13.8,1.1,0.0
"Potatoes, new and salad, flesh only, raw",1.7,0.1,16.1,68,14.8,1.3,0.0
"Potatoes, new, frozen, `roast' in corn oil",2.5,6.6,23.4,157,22.4,1.0,0.0
"Potatoes, old, baked, flesh and skin",2.5,0.2,22.6,97,21.2,1.4,0.0
"Potatoes, old, baked, flesh only",2.2,0.1,18.0,77,17.3,0.7,0.0
"Potatoes, old, baked, flesh only, weighed with skin",1.5,0.1,12.1,52,11.6,0.5,0.0
"Potatoes, old, boiled in salted water, flesh only",1.8,0.1,17.5,74,16.7,0.8,0.0
"Potatoes, old, boiled in unsalted water, flesh only",1.8,0.1,17.5,74,16.7,0.8,0.0
"Potatoes, old, mashed with butter",1.9,3.9,15.9,102,14.9,1.0,9.9
"Potatoes, old, mashed with reduced fat spread",1.8,2.8,15.9,93,14.9,1.0,0.4
"Potatoes, old, microwaved, flesh and skin",2.6,0.1,21.5,92,19.4,2.1,0.0
"Potatoes, old, potato wedges, with skin, cooked in sunflower oil, homemade",2.9,3.8,26.5,145,24.8,1.7,0.0
"Potatoes, old, raw, flesh only",1.9,0.1,19.6,82,18.7,0.9,0.0
"Potatoes, old, roasted in corn oil",2.6,5.7,26.4,161,25.2,1.2,0.0
"Potatoes, old, roasted in lard",2.6,5.7,26.4,161,25.2,1.2,5.2
"Potatoes, old, roasted in rapeseed oil",2.6,5.7,26.4,161,25.2,1.2,0.0
"Potatoes, old, roasted in sunflower oil, flesh only",2.6,5.7,26.4,161,25.2,1.2,0.0
"Potatoes, old, wedges, with skin, homemade, cooked in rapeseed oil",2.9,3.8,26.5,145,24.8,1.7,0.0
"Poussin, raw, meat and skin",19.1,13.9,0.0,202,0.0,0.0,100.0
"Poussin, raw, meat and skin, weighed with bone",11.1,8.1,0.0,117,0.0,0.0,58.0
"Prawn crackers, takeaway",0.3,39.0,58.2,570,56.0,2.2,0.3
"Prawns, king, grilled from raw",23.5,0.9,0.0,102,0.0,0.0,193.0
"Prawns, king, purchased cooked",16.2,0.4,0.0,68,0.0,0.0,162.0
"Prawns, king, purchased cooked, weighed with shells",8.7,0.2,0.0,37,0.0,0.0,87.4
"Prawns, king, raw",17.6,0.7,0.0,77,0.0,0.0,150.0
"Prawns, standard, dried",83.1,4.9,0.0,377,0.0,0.0,770.2
"Prawns, standard, purchased cooked",15.4,0.9,0.0,70,0.0,0.0,143.0
Pre-mixed spirit based drinks,Tr,0.0,8.0,52,0.0,8.0,0.0
"Prickly pears, flesh and seeds",0.7,0.3,11.5,49,0.0,11.5,0.0
"Profiteroles with sauce, frozen",5.5,25.7,24.6,346,6.4,17.0,N
Prune juice,0.5,0.1,14.4,57,0.0,14.4,0.0
"Prunes, canned in juice, whole contents",0.7,0.2,19.7,79,0.0,19.7,0.0
"Prunes, flesh and skin",2.8,0.5,38.4,160,0.0,38.4,0.0
"Prunes, flesh and skin, stewed with sugar",1.3,0.2,25.5,103,0.0,25.5,0.0
"Prunes, flesh and skin, stewed with sugar, weighed with stones",1.2,0.2,23.5,95,0.0,23.5,0.0
"Prunes, flesh and skin, stewed without sugar",1.4,0.3,19.5,81,0.0,19.5,0.0
"Prunes, flesh and skin, stewed without sugar, weighed with stones",1.3,0.2,17.8,74,0.0,17.8,0.0
"Prunes, flesh and skin, weighed with stones",2.4,0.4,32.3,134,0.0,32.3,0.0
"Prunes, ready-to-eat, semi-dried",2.3,0.3,36.5,149,0.0,36.5,0.0
"Prunes, ready-to-eat, semi-dried, weighed with stones",2.0,0.3,31.4,128,0.0,31.4,0.0
"Pudding, bread and butter, homemade",6.3,5.3,17.0,137,4.6,12.4,68.7
"Pudding, Christmas, homemade",5.0,9.8,54.6,316,20.8,33.8,41.2
"Pudding, Christmas, retail",3.0,6.9,56.3,285,10.1,46.2,36.0
"Pudding, Eve's pudding, homemade",3.3,13.4,31.4,252,11.4,20.0,80.4
"Pudding, Queen of Puddings, homemade",5.0,7.6,34.2,195,6.8,27.5,81.4
"Pudding, rice, canned",3.3,1.3,16.1,85,7.3,8.7,9.0
"Pudding, rice, canned, low fat",3.5,0.8,16.0,81,7.2,8.7,N
"Pudding, rice, homemade, with semi-skimmed milk",4.2,4.4,19.0,127,8.7,10.3,12.7
"Pudding, rice, homemade, with skimmed milk",4.3,2.9,19.1,114,8.7,10.4,10.4
"Pudding, rice, homemade, with whole milk",4.2,6.5,18.9,145,8.7,10.2,19.1
"Pudding, sponge, canned",3.1,9.1,45.4,265,19.6,25.8,32.0
"Pudding, sponge, homemade",5.7,14.6,46.2,327,27.7,18.5,61.8
"Pudding, sponge, with dried fruit, homemade",5.5,13.4,50.5,332,25.3,25.2,56.5
"Pudding, sponge, with jam or treacle, homemade",5.3,13.3,51.1,333,25.3,25.8,56.5
"Pudding, spotted dick, homemade",4.5,16.1,48.3,344,29.2,19.1,15.8
"Pudding, suet, homemade",4.8,17.6,46.4,352,31.9,14.5,17.4
Pumpkin seeds,24.4,45.6,15.2,565,14.1,1.1,0.0
"Pumpkin, flesh only, boiled in unsalted water",0.6,0.3,1.9,12,0.1,1.8,0.0
"Pumpkin, flesh only, raw",0.7,0.2,2.2,13,0.3,1.7,0.0
"Puri, homemade",7.2,22.3,36.5,366,35.3,1.2,29.7
"Quiche, cheese and egg, homemade",12.5,22.3,14.6,305,13.1,1.6,116.0
"Quiche, cheese and egg, wholemeal, homemade",13.0,20.4,15.6,294,14.0,1.6,137.1
"Quiche, Lorraine, homemade",15.3,26.0,16.8,358,14.6,2.2,102.9
"Quiche, Lorraine, shortcrust pastry, retail",9.1,17.6,19.7,269,16.5,3.2,79.6
"Quiche, Lorraine, wholemeal pastry, homemade",15.8,24.9,18.0,354,15.8,2.2,129.7
"Quiche, mushroom, homemade",9.9,20.0,15.5,278,14.2,1.3,84.2
"Quiche, mushroom, wholemeal, homemade",10.5,18.1,16.6,267,15.3,1.3,107.3
"Quiche, vegetable, retail",8.1,19.7,21.2,289,17.5,3.5,82.6
"Quinces, flesh only",0.3,0.1,6.3,26,Tr,6.3,0.0
"Quinoa, raw",13.8,5.0,55.7,309,47.6,6.1,0.0
Quorn korma,3.7,7.0,16.7,140,15.0,1.3,2.0
"Quorn, pieces, as purchased",14.0,1.4,1.1,73,0.7,0.4,0.0
"Rabbit, raw, meat only",21.9,5.5,0.0,137,0.0,0.0,53.0
"Rabbit, stewed, meat only",21.2,3.2,0.0,114,0.0,0.0,49.0
"Rabbit, stewed, meat only, weighed with bone",12.7,1.9,0.0,68,0.0,0.0,49.0
"Raddiccio, raw",1.4,0.2,1.7,14,Tr,1.7,0.0
"Radish leaves, raw",3.5,0.5,3.5,33,N,N,0.0
"Radish, red, flesh and skin, raw",0.7,0.4,1.4,12,Tr,1.4,0.0
"Radish, white/mooli, raw",0.8,0.1,2.9,15,Tr,2.9,0.0
"Raisins, dried",3.0,1.0,62.6,256,0.0,62.6,0.0
"Raita, homemade",4.4,2.4,5.8,57,0.0,5.8,7.5
"Raita, yogurt and gram flour, homemade",3.3,6.6,8.1,103,1.8,5.3,15.3
"Rambutan, flesh only",1.0,0.4,16.3,69,0.0,16.3,0.0
"Rape leaves, raw",3.8,0.3,4.8,37,N,N,0.0
"Raspberries, raw",0.8,0.3,5.1,25,0.0,5.1,0.0
"Raspberries, stewed with sugar",1.2,0.3,15.0,63,0.0,15.0,0.0
"Raspberries, stewed without sugar",1.4,0.3,4.4,24,0.0,4.4,0.0
"Ratatouille, homemade",1.2,7.0,3.8,82,0.2,3.3,0.0
Red pea loaf,9.2,3.4,15.6,127,13.0,0.9,36.9
"Red rice, boiled in unsalted water",3.0,1.2,28.2,129,28.1,0.2,0.1
"Red snapper, flesh only, fried in blended oil, weighed with bones and skin",24.5,3.1,0.0,126,0.0,0.0,46.0
"Red snapper, flesh only, fried in blended oil, weighed with bones and skin",12.5,1.6,0.0,64,0.0,0.0,23.0
"Red snapper, flesh only, fried in sunflower oil",24.5,3.1,0.0,126,0.0,0.0,46.0
"Red snapper, flesh only, fried in sunflower oil, weighed with bones and skin",12.5,1.6,0.0,64,0.0,0.0,23.0
"Red snapper, flesh only, raw",19.6,1.3,0.0,90,0.0,0.0,37.0
"Redcurrants, raw",1.1,Tr,4.4,21,0.0,4.4,0.0
"Redcurrants, stewed with sugar",0.9,Tr,13.3,53,0.0,13.3,0.0
"Redcurrants, stewed without sugar",0.9,Tr,3.8,17,0.0,3.8,0.0
"Redfish, raw",18.4,2.7,0.0,98,0.0,0.0,42.0
Re-fried beans,7.1,8.6,15.0,169,11.9,1.4,1.0
"Relish, corn/cucumber/onion",1.0,0.3,  36.6,144,7.7,  28.9,0.0
"Relish, tomato based",1.2,0.1,27.6,114,2.5,25.1,0.0
"Rhubarb, stems only, raw",0.9,0.1,0.8,7,0.0,0.8,0.0
"Rhubarb, stems only, stewed with sugar",0.9,0.1,11.5,48,0.0,11.5,0.0
"Rhubarb, stems only, stewed without sugar",1.0,0.6,1.2,14,0.0,1.2,0.0
Rice and black-eye beans,5.6,2.2,34.1,170,32.7,0.9,0.2
"Rice and black-eye beans, brown rice",5.9,2.4,31.6,164,31.0,1.0,0.2
Rice and pigeon peas,4.9,2.2,33.1,163,32.3,0.7,0.2
"Rice and pigeon peas, brown rice",5.2,2.3,30.8,157,30.6,0.8,0.2
Rice and red kidney beans,5.2,2.1,31.5,158,30.6,0.5,0.2
"Rice and red kidney beans, brown rice",5.5,2.3,29.1,152,28.9,0.6,0.2
Rice and split peas,5.8,2.5,37.3,186,36.4,0.8,0.2
"Rice and split peas, brown rice",6.2,2.7,34.7,179,34.5,0.9,0.2
"Rice, brown, basmati, boiled in unsalted water",3.3,1.1,28.7,131,28.4,0.3,0.1
"Rice, brown, basmati, raw",8.9,3.1,77.6,355,76.8,0.8,0.3
"Rice, brown, easy cook, boiled in unsalted water",3.2,1.3,35.3,157,33.0,0.3,Tr
"Rice, brown, easy cook, raw",7.5,3.1,82.1,366,76.7,0.7,Tr
"Rice, brown, wholegrain, boiled in unsalted water",3.6,0.9,29.2,132,29.0,0.1,0.1
"Rice, brown, wholegrain, raw",7.7,1.5,77.0,333,76.3,0.7,0.2
"Rice, egg fried, ready cooked, re-heated, retail, not takeaway",3.9,5.3,28.1,169,28.1,Tr,52.6
"Rice, egg fried, takeaway",4.3,4.9,33.3,186,33.1,Tr,18.7
"Rice, pilau, plain, homemade",2.5,3.7,24.3,134,23.3,0.8,0.0
"Rice, ready-cooked, ""plain"", re-heated",4.1,1.9,33.9,161,33.9,Tr,0.0
"Rice, red, raw",7.0,2.9,80.4,356,75.7,0.9,0.3
"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, cooked",3.7,1.4,34.0,155,30.8,3.2,0.2
"Rice, savoury, including chicken, beef, mushroom and vegetable varieties, dried, uncooked",8.0,2.7,83.3,369,71.6,6.7,0.6
"Rice, Thai fragrant, boiled in unsalted water",2.3,0.4,32.1,133,28.7,Tr,0.0
"Rice, Thai fragrant, raw",6.4,1.1,84.5,352,84.4,0.1,0.0
"Rice, white, basmati, boiled in unsalted water",2.8,0.7,26.5,117,26.5,Tr,0.0
"Rice, white, basmati, easy cook, boiled in unsalted water",3.5,0.4,32.2,138,32.1,Tr,0.0
"Rice, white, basmati, easy cook, raw",8.1,0.4,83.8,350,83.3,0.6,0.0
"Rice, white, basmati, raw",8.1,0.5,83.7,351,83.6,0.1,0.0
"Rice, white, Italian ""Arborio"" risotto, boiled in unsalted water",3.2,0.5,32.2,138,32.1,Tr,0.0
"Rice, white, Italian Arborio risotto, raw",6.4,1.0,85.2,354,84.9,0.2,0.0
"Rice, white, long grain, boiled in unsalted water",2.8,0.4,31.1,131,31.1,Tr,0.0
"Rice, white, long grain, easy cook, boiled in unsalted water",3.0,0.4,34.7,146,34.7,Tr,0.0
"Rice, white, long grain, easy cook, raw",7.0,1.1,82.3,347,82.3,Tr,0.0
"Rice, white, long grain, raw",6.7,1.0,85.1,355,84.8,0.2,0.0
"Rice, white, pudding, raw",5.6,0.9,85.6,352,85.4,0.2,0.0
"Rice, wild, boiled in unsalted water",5.3,0.6,31.7,145,31.2,0.4,0.0
"Rice, wild, raw",12.2,1.1,75.8,343,75.7,0.1,0.0
"Risotto, chicken, homemade",8.9,3.3,25.3,173,N,N,29.4
"Risotto, plain, homemade",3.3,4.7,35.6,184,34.3,1.0,Tr
"Risotto, vegetable, brown rice",4.0,6.2,17.3,136,15.1,1.8,Tr
"Risotto, white rice, vegetable, homemade",3.8,6.1,18.5,139,16.3,1.7,0.0
"Rissoles, brown rice, fried in sunflower oil",5.6,8.8,30.8,216,29.1,1.5,25.0
"Rissoles, brown rice, fried in vegetable oil",5.6,8.8,30.8,216,29.1,1.5,25.0
"Rissoles, chick pea, fried in sunflower oil",8.0,16.7,16.0,243,15.0,0.4,23.2
"Rissoles, chick pea, fried in vegetable oil",8.0,16.7,16.0,243,15.0,0.4,23.2
"Rissoles, lentil, fried in sunflower oil",8.9,10.5,22.0,211,18.9,2.0,21.0
"Rissoles, lentil, fried in vegetable oil",8.9,10.5,22.0,211,18.9,2.0,21.0
"Rissoles, vegetable, fried in sunflower oil",1.5,7.2,13.2,121,11.5,1.6,0.2
"Rissoles, vegetable, fried in vegetable oil",1.5,7.2,13.2,121,11.5,1.6,0.2
"Rock cakes, homemade",5.3,14.8,61.8,386,29.8,32.0,34.1
"Rock Salmon/Dogfish, in batter, fried in blended oil",14.7,21.9,10.3,295,10.3,Tr,N
"Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones",13.7,20.4,9.6,274,9.6,Tr,N
"Rock Salmon/Dogfish, in batter, fried in dripping",14.7,21.9,10.3,295,10.3,Tr,N
"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones",13.7,20.4,9.6,274,9.6,Tr,N
"Rock Salmon/Dogfish, in batter, fried in retail blend oil",14.7,21.9,10.3,295,10.3,Tr,N
"Rock Salmon/Dogfish, in batter, fried in retail blend oil, weighed with bones",13.7,20.4,9.6,274,9.6,Tr,N
"Rock Salmon/Dogfish, in batter, fried in sunflower oil",14.7,21.9,10.3,295,10.3,Tr,N
"Rock Salmon/Dogfish, in batter, fried in sunflower oil, weighed with bones",13.7,20.4,9.6,274,9.6,Tr,N
"Rock Salmon/Dogfish, raw",16.6,9.7,0.0,154,0.0,0.0,76.0
"Rocket, raw",3.6,0.4,Tr,18,Tr,Tr,0.0
"Roe, cod, hard, coated in batter, fried",12.4,11.8,8.9,189,8.9,Tr,N
"Roe, cod, hard, raw",21.7,1.9,0.0,104,0.0,0.0,330.0
"Roe, herring, soft, raw",16.8,2.6,0.0,91,0.0,0.0,575.0
"Rohu, raw",16.6,1.4,0.0,79,0.0,0.0,N
"Rosemary, dried",4.9,15.2,46.4,331,N,N,0.0
"Rosemary, fresh",1.4,4.4,13.5,99,N,N,0.0
"Roulade, spinach",10.1,13.3,4.5,182,2.7,2.0,122.6
"Rum baba, homemade",3.7,7.7,33.1,222,13.3,19.7,26.3
Rusks,6.5,10.7,73.0,396,49.6,23.4,3.4
"Saag, homemade",3.3,8.8,5.0,111,3.3,1.7,7.1
Saffron,11.4,5.9,61.5,310,19.1,42.4,0.0
"Sage, dried, ground",10.6,12.7,42.7,315,N,N,0.0
"Sage, fresh",3.9,4.6,15.6,119,N,N,0.0
"Sago, raw",0.2,0.2,94.0,355,94.0,Tr,0.0
Salad cream,1.5,26.7,  21.2, 326,4.5,16.7,43.0
"Salad cream, reduced fat",1.0,10.6,  15.5,157,6.3,9.2,4.3
"Salad, beetroot and onion in French dressing",1.9,3.1,9.5,71,1.0,8.2,0.0
"Salad, Greek",2.7,12.6,1.9,131,0.0,1.8,9.8
"Salad, green",1.0,0.4,1.6,13,0.0,1.6,0.0
"Salad, pasta, vegetables and mayonnaise",3.7,7.9,17.5,150,15.4,1.9,N
"Salad, potato, with French dressing",1.5,5.0,15.8,111,13.7,2.1,0.0
"Salad, potato, with mayonnaise",1.6,20.6,12.7,239,11.1,1.5,15.7
"Salad, potato, with mayonnaise, retail",1.5,11.8,  12.3,158,10.4,   1.9,N
"Salad, rice, brown",3.5,7.3,21.6,160,16.6,5.0,0.1
"Salad, rice, homemade",3.1,7.0,24.5,168,19.6,4.9,0.0
"Salad, tomato and onion",0.6,2.7,4.9,45,0.4,4.1,0.0
"Salad, Waldorf",1.5,17.8,7.9,196,Tr,7.9,10.1
"Salad, wholemeal pasta, with vegetables and mayonnaise",3.1,7.5,13.8,131,11.1,2.6,6.0
Salami,20.9,39.2,0.5,438,Tr,0.5,83.0
Salami snack,25.1,44.0,1.9,504,Tr,1.9,N
"Salmis of pheasant, homemade",9.9,5.6,2.4,106,0.9,1.4,75.3
"Salmon en croute, retail",11.8,19.1,18.0,288,17.1,0.9,31.0
"Salmon, farmed, flesh only, baked",25.2,14.6,0.0,232,0.0,0.0,67.2
"Salmon, farmed, flesh only, grilled",24.6,15.6,0.0,239,0.0,0.0,71.8
"Salmon, farmed, flesh only, grilled, weighed with bones and skin",21.4,13.6,0.0,208,0.0,0.0,62.5
"Salmon, farmed, flesh only, raw",20.4,15.0,0.0,217,0.0,0.0,67.5
"Salmon, farmed, flesh only, steamed",23.6,18.5,0.0,261,0.0,0.0,85.2
"Salmon, farmed, flesh only, steamed, fillets weighed with bones and skin",20.5,16.1,0.0,227,0.0,0.0,74.1
"Salmon, pink, canned in brine, drained",23.6,4.8,0.0,138,0.0,0.0,61.0
"Salmon, red, canned in brine, drained",23.5,7.3,0.0,160,0.0,0.0,62.0
"Salmon, red, canned in brine, skinless and boneless, drained",23.2,6.7,0.0,153,0.0,0.0,61.0
"Salmon, smoked (cold-smoked)",22.8,10.1,0.5,184,0.0,0.5,45.0
"Salmon, smoked (hot-smoked)",25.4,8.8,1.3,186,0.0,1.3,72.0
"Salmon, wild, baked",26.5,12.1,0.0,215,0.0,0.0,61.1
"Salmon, wild, flesh only, raw",22.1,10.1,0.0,179,0.0,0.0,50.9
"Salmon, wild, grilled",25.9,11.8,0.0,210,0.0,0.0,59.7
"Salmon, wild, steamed",25.3,11.6,0.0,206,0.0,0.0,58.3
"Salsify, flesh only, boiled in unsalted water",1.1,0.4,8.6,23,2.7,1.4,0.0
"Salsify, flesh only, raw",1.3,0.3,10.2,27,3.5,1.5,0.0
Salt,0.0,0.0,0.0,0,0.0,0.0,0.0
"Salted fish, Chinese, bones removed, steamed",33.9,2.2,0.0,155,0.0,0.0,N
"Sambar, homemade",3.1,0.9,7.7,49,5.9,1.9,70.5
"Samosas, lamb, baked, homemade",11.1,17.5,23.1,288,20.8,1.6,30.9
"Samosas, lamb, deep fried in rapeseed oil, homemade",8.1,31.5,16.9,379,15.2,1.2,22.6
"Samosas, vegetable, retail",5.1,9.3,30.0,217,27.3,2.7,0.8
"Sandwich, white bread, bacon, lettuce and tomato",8.2,11.9,24.1,230,21.7,2.4,16.6
"Sandwich, white bread, cheddar cheese and pickle",12.0,14.4,27.7,282,23.1,4.6,29.6
"Sandwich, white bread, chicken salad",10.7,4.9,22.5,172,20.4,2.1,26.0
"Sandwich, white bread, egg mayonnaise",8.8,11.2,28.5,243,26.2,2.2,102.6
"Sandwich, white bread, ham salad",8.2,4.1,25.0,163,22.5,2.5,12.2
"Sandwich, white bread, tuna mayonnaise",12.5,10.2,25.3,237,23.2,2.1,20.4
"Sapodilla, flesh only",0.6,0.9,15.5,69,0.8,14.7,0.0
"Sardines, canned in brine, drained",22.1,9.1,0.0,170,0.0,0.0,66.0
"Sardines, canned in olive oil, drained",23.3,14.1,0.0,220,0.0,0.0,66.0
"Sardines, canned in sunflower oil, drained",23.3,14.1,0.0,220,0.0,0.0,66.0
"Sardines, canned in tomato sauce, whole contents",18.5,10.8,0.9,175,Tr,0.9,71.0
"Sardines, flesh only, grilled",25.4,7.8,0.0,172,0.0,0.0,65.1
"Sardines, flesh only, grilled, weighed with skin and bones",16.0,4.9,0.0,108,0.0,0.0,41.0
"Sardines, flesh only, raw",19.8,6.1,0.0,134,0.0,0.0,51.0
"Sauce, cheese, packet mix, dry",19.3,28.4,40.9,486,35.3,5.6,N
"Sauce, Chinese cook in, sweet & sour",0.5,1.0,22.1,94,2.7,19.4,0.0
"Sauce, Chinese stir fry",1.4,1.3,19.9,92,3.2,16.7,0.0
"Sauce, curry, onion, with butter, homemade",1.2,24.7,6.6,252,Tr,4.4,63.4
"Sauce, curry, onion, with vegetable oil, homemade",1.0,30.0,6.5,298,Tr,4.2,0.0
"Sauce, curry, sweet, UK type, homemade",1.1,5.7,9.8,92,3.1,5.7,0.0
"Sauce, curry, tomato and onion, homemade",1.7,19.2,6.1,201,0.6,4.6,0.0
"Sauce, dry, casserole mix",9.7,3.9,68.2,330,56.0,12.2,0.0
"Sauce, dry, casserole mix, made up",1.1,0.4,7.3,35,6.1,1.2,0.0
"Sauce, duck a l'orange",0.5,3.7,7.1,66,5.3,1.8,8.6
"Sauce, Indian cook in, korma/tikka masala",1.7,9.5,10.9,133,3.5,7.4,7.8
"Sauce, pasta, carbonara type",4.9,13.0,3.8,151,3.0,0.8,30.9
"Sauce, pasta, four cheese",5.1,9.7,5.8,129,3.9,1.9,23.0
"Sauce, pasta, tomato based, for bolognese",1.5,1.3,6.9,44,0.8,6.1,0.1
"Sauce, pasta, tomato based, napoletana",1.5,3.8,6.5,65,0.2,6.3,0.0
"Sauce, pasta, tomato based, reduced fat",1.4,0.3,6.7,33,1.1,5.6,0.0
"Sauce, pasta, tomato based, with added vegetables",1.4,2.1,5.7,46,0.6,5.1,0.0
"Sauce, pasta, white, with ham and mushrooms, homemade",7.3,10.6,1.0,129,0.1,1.0,36.7
"Sauce, sweet and sour, take-away",0.2,3.4,32.8,157,5.3,27.5,0.0
"Sauce, tomato and mushroom, homemade",1.4,2.0,6.0,46,0.2,4.7,0.0
"Sauce, tomato based, homemade",1.5,4.5,6.5,70,0.1,5.1,0.0
"Sauce, traditional cook in, tomato based",0.9,1.0,8.1,43,3.1,4.9,0.0
"Sauce, traditional cook in, white sauce based",1.6,8.6,5.7,105,2.8,2.8,8.0
"Sauces, Indian cook in, other",1.4,3.2,8.7,67,2.6,6.1,N
Sauerkraut,1.1,Tr,1.1,9,Tr,1.1,0.0
"Sausage roll, flaky pastry, ready-to-eat, retail",8.4,24.1,27.0,352,25.6,1.3,N
"Sausage rolls, short pastry, homemade",9.9,28.8,25.6,395,23.5,2.1,36.0
